id.presentacion;grupo;producto;marca;especificacion;N;Min;Pmin;Pmediano;PPdM;Pmax;Max;ee;iqr;PPdM_Ant;Var.Mens;C.V.
1;Alimentos y bebidas;Aceite de girasol;Óptimo;Envase 900 cc;454;80;85;99;99,611;119,0;129,0;6,596779277;3,42;100,098;-0,0049;0,0662
2;Alimentos y bebidas;Aceite de girasol;Río de la Plata;Envase 900 cc;424;72;79;109;111,186;145,0;146,0;9,971427929;10;110,829;0,0032;0,0897
3;Alimentos y bebidas;Aceite de girasol;Uruguay;Envase 900 cc;318;69,9;75;88;87,905;118,0;123,0;9,5214339;20;87,114;0,0091;0,1083
359;Alimentos y bebidas;Aceite de girasol;Tata;Envase 900 cc;86;95;95;95;98,613;109,0;109,0;6,1271247;14;95;0,038;0,0621
361;Alimentos y bebidas;Aceite de girasol;Precio Líder;Envase 900 cc;90;79;79;99;98,06;99,0;99,0;3,799762372;0;99;-0,0095;0,0387
365;Alimentos y bebidas;Aceite de girasol;Tienda Inglesa;Envase 900 cc;19;77,6;77,6;84;90,043;102,0;102,0;7,767370465;13;96,236;-0,0644;0,0863
4;Alimentos y bebidas;Aceite de maíz;Delicia;Envase 900 cc;402;89;92,453;128;124,617;140,0;154,4;11,08309523;14;123,98;0,0051;0,0889
5;Alimentos y bebidas;Aceite de maíz;Río de la Plata;Envase 900 cc;329;113,4;130;140;147,103;165,0;167,0;11,40947379;18,28;148,712;-0,0108;0,0776
7;Alimentos y bebidas;Aceite de soja;Condesa;Envase 900 cc;389;52;57;67;66,951;85,0;97,0;7,909790725;16;64,657;0,0355;0,1181
8;Alimentos y bebidas;Aceite de soja;Río de la Plata;Envase 900 cc;426;52;57;69;69,077;84,0;95,0;9,155739466;20;69,035;0,0006;0,1325
9;Alimentos y bebidas;Aceite de soja;Salad;Envase 900 cc;92;45;45;75;72,76;99,0;99,0;6,727074483;0;73,945;-0,016;0,0925
10;Alimentos y bebidas;Agua de mesa con gas;Matutina;Envase 2,5 lt.;449;49;53,9;59;59,53;73,0;73,0;2,976481063;3;59,468;0,001;0,05
11;Alimentos y bebidas;Agua de mesa con gas;Nativa;Envase 2,5 lt.;377;59;68;74;73,882;88,0;89,0;3,195905512;1;73,649;0,0032;0,0433
12;Alimentos y bebidas;Agua de mesa con gas;Salus;Envase 2,25 lt.;557;64,9;65;74;75,3;80,0;80,0;3,294750068;1;75,338;-0,0005;0,0438
366;Alimentos y bebidas;Agua de mesa sin gas;Salus;Envase 2,25lt.;550;64,9;65;74;75,305;80,0;80,0;3,565446424;6;75,339;-0,0005;0,0473
367;Alimentos y bebidas;Agua de mesa sin gas;Matutina;Envase 2,5lt.;401;49;53;59;59,348;73,0;73,0;2,900514599;1;59,283;0,0011;0,0489
368;Alimentos y bebidas;Agua de mesa sin gas;Vitale;Envase 2,5lt.;376;50;55;65;62,817;73,0;99,0;4,25401707;6;62,526;0,0047;0,0677
369;Alimentos y bebidas;Agua mineral sin gas;Salus;Envase 6,25lt.;542;109;122;137;137,999;147,0;147,0;7,632478601;10;137,434;0,0041;0,0553
370;Alimentos y bebidas;Agua mineral sin gas;Nativa;Envase 6lt.;371;104,9;109;130;128,864;136,0;142,0;4,089990918;1;126,386;0,0196;0,0317
13;Alimentos y bebidas;Aguja vacuna;Con Hueso - Sin Marca;1 kg.;141;249;255;299;305,703;369,0;375,0;17,00707608;9;304,482;0,004;0,0556
14;Alimentos y bebidas;Aguja vacuna;Sin Hueso - Sin Marca;1 kg.;133;229;229;298;301,269;399,0;409,0;47,49380077;74;279,822;0,0766;0,1576
15;Alimentos y bebidas;Arroz blanco;Blue Patna;Bolsa 1 kg.;394;52;59,9;74,9;74,93;89,0;91,0;6,442756876;12;74,796;0,0018;0,086
16;Alimentos y bebidas;Arroz blanco;Green Chef;Bolsa 1 kg.;390;55;59;74,9;71,613;80,0;80,0;5,25524705;7;71,487;0,0018;0,0734
17;Alimentos y bebidas;Arroz blanco;Saman Blanco;Bolsa 1 kg.;444;53;57;82;79,916;89,0;90,0;6,560900193;8;78,283;0,0209;0,0821
18;Alimentos y bebidas;Arroz blanco;Aruba tipo Patna;Bolsa 1 kg.;267;37;39;50;50,629;59,0;75,0;4,504973466;5;50,701;-0,0014;0,089
19;Alimentos y bebidas;Arroz blanco;Pony;Bolsa 1 kg.;52;31;31;39;38,577;59,0;59,0;4,882191351;3;38,577;0;0,1266
20;Alimentos y bebidas;Arroz blanco;Vidarroz;Bolsa 1 kg.;236;33;40;57;52,808;60,0;60,0;7,414411868;10;53,1;-0,0055;0,1404
22;Alimentos y bebidas;Arvejas en conserva;Cololó;Lata 380 grs.;360;29;35;49;48,315;55,0;60,0;5,53727368;10;46,755;0,0334;0,1146
23;Alimentos y bebidas;Arvejas en conserva;Nidemar;Lata 300 grs.;166;19;19;37;33,266;37,0;37,0;4,580418277;5;33,246;0,0006;0,1377
24;Alimentos y bebidas;Azúcar blanco;Azucarlito;Paquete 1 kg.;401;49;52;55;56,394;72,0;75,0;3,027900665;2,1;56,267;0,0023;0,0537
25;Alimentos y bebidas;Azúcar blanco;Bella Unión;Paquete 1 kg.;393;49;50;55;55,062;65,0;67,0;2,219571523;1,1;55,297;-0,0042;0,0403
26;Alimentos y bebidas;Café envasado (no instantáneo);Águila;Paquete 250 grs.;428;209;209;267;262,089;317,0;335,0;19,67999526;17,87;254,615;0,0294;0,0751
